,id_str,id,created_at,text,text_cleaned,hashtags,retweet_count,sentiment,positive_sentiment,negative_sentiment,created_year,created_month,created_day,created_at_int,date
0,1165706256096604166,1,2019-08-25 19:23:23,"Great meetings at the @G7 in Biarritz, France! #G7Biarritz https://t.co/OdA4SQxUYf",great meeting biarritz france gbiarritz httpstcoodasqxuyf,['G7Biarritz'],1674,0.8,1,0,2019,8,25,1566761003000000000,1566691200000.0
1,1165695030939402240,1,2019-08-25 18:38:47,Thank you Eric. So true! https://t.co/9hhVOp2whc,thank eric true httpstcohhvopwhc,[],3549,0.35,1,0,2019,8,25,1566758327000000000,1566691200000.0
2,1165694542638505984,1,2019-08-25 18:36:51,"USMCA, make it bipartisan. Everybody wants it! https://t.co/lloDwZr4iN",usmca make bipartisan everybody want httpstcollodwzrin,[],3049,0.0,0,0,2019,8,25,1566758211000000000,1566691200000.0
3,1165694074994581504,1,2019-08-25 18:34:59,"Jesse &amp; Emma, Great News. Congratulations!!!!! https://t.co/ja7iAN1ypO",jesse amp emma great news congratulation httpstcojaianypo,[],2343,0.8,1,0,2019,8,25,1566758099000000000,1566691200000.0
4,1165692401320546309,1,2019-08-25 18:28:20,Happy Birthday Vince! https://t.co/trOf5Ivmwq,happy birthday vince httpstcotrofivmwq,[],3025,0.8,1,0,2019,8,25,1566757700000000000,1566691200000.0
5,1165677808896507904,1,2019-08-25 17:30:21,"The question I was asked most today by fellow World Leaders, who think the USA is doing so well and is stronger tha… https://t.co/q0VQMrYTSi",question -PRON- ask today fellow world leader think usa well strong tha httpstcoqvqmrytsi,[],16542,0.4333333333333333,1,0,2019,8,25,1566754221000000000,1566691200000.0
6,1165664682952163328,1,2019-08-25 16:38:12,"Big Trade Deal just agreed to with Prime Minister Abe of Japan. Will be great for our Farmers, Ranchers and more. Really big Corn purchase!",big trade deal agree prime minister abe japan great farmer rancher really big corn purchase,[],9731,0.26666666666666666,1,0,2019,8,25,1566751092000000000,1566691200000.0
7,1165663961062133761,1,2019-08-25 16:35:19,"So @donnabrazile gives Crooked Hillary the Questions, and now she’s on @FoxNews!",donnabrazile give crooked hillary question foxnew,[],7956,0.0,0,0,2019,8,25,1566750919000000000,1566691200000.0
8,1165654684486389760,1,2019-08-25 15:58:28,Rasmussen at 50%. @MediaBuzzFNC &amp; @FoxNews are only getting worse! Now @donnabrazile &amp; others on Fox. Not what it u… https://t.co/di10mmUVO5,rasmussen mediabuzzfnc amp foxnew get bad donnabrazile amp fox httpstcodimmuvo,[],6090,-0.6999999999999998,0,1,2019,8,25,1566748708000000000,1566691200000.0
9,1165652674705969152,1,2019-08-25 15:50:29,"Happy Birthday Regis, a truly special man!",happy birthday regis truly special man,[],4846,0.5785714285714286,1,0,2019,8,25,1566748229000000000,1566691200000.0
10,1165651928400838656,1,2019-08-25 15:47:31,Happy Birthday Sean! https://t.co/iQgY6RTWST,happy birthday httpstcoiqgyrtwst,[],8437,0.8,1,0,2019,8,25,1566748051000000000,1566691200000.0
11,1165535548766920704,1,2019-08-25 08:05:04,"Great working breakfast this morning with Prime Minister @BorisJohnson at the Hôtel du Palais in Biarritz, France!… https://t.co/emii9PkdlD",great work breakfast morning prime minister borisjohnson hôtel du palai biarritz france httpstcoemiipkdld,[],10145,0.8,1,0,2019,8,25,1566720304000000000,1566691200000.0
12,1165500375870427136,1,2019-08-25 05:45:18,Such False and Inaccurate reporting thus far on the G-7. The Fake News knows this but they can’t help themselves! L… https://t.co/Si4nNUoLEF,false inaccurate report thus far fake news know help httpstcosinnuolef,[],12879,-0.26666666666666666,0,1,2019,8,25,1566711918000000000,1566691200000.0
13,1165499461268836352,1,2019-08-25 05:41:40,"....bad Economic times, the worse the better, anything to make my Election more difficult to win. Well, we are havi… https://t.co/r29vbTSqGp",bad economic time bad good anything make election difficult win well havi httpstcorvbtsqgp,[],16627,-0.03333333333333329,0,0,2019,8,25,1566711700000000000,1566691200000.0
